ID,Species,Observer,Trial
Camilo-Orientation-Trial-1-Alouatta,Alouatta palliata,CLA,1
Camilo-Orientation-Trial-1-Ochotona,Ochotona pallasi,CLA,1
Camilo-Orientation-Trial-1-Octodon,Octodon degus,CLA,1
Camilo-Orientation-Trial-2-Alouatta,Alouatta palliata,CLA,2
Camilo-Orientation-Trial-2-Ochotona,Ochotona pallasi,CLA,2
Camilo-Orientation-Trial-2-Octodon,Octodon degus,CLA,2
Camilo-Orientation-Trial-3-Alouatta,Alouatta palliata,CLA,3
Camilo-Orientation-Trial-3-Ochotona,Ochotona pallasi,CLA,3
Camilo-Orientation-Trial-3-Octodon,Octodon degus,CLA,3
Camilo-Orientation-Trial-4-Alouatta,Alouatta palliata,CLA,4
Camilo-Orientation-Trial-4-Ochotona,Ochotona pallasi,CLA,4
Camilo-Orientation-Trial-4-Octodon,Octodon degus,CLA,4
Camilo-Orientation-Trial-5-Alouatta,Alouatta palliata,CLA,5
Camilo-Orientation-Trial-5-Ochotona,Ochotona pallasi,CLA,5
Camilo-Orientation-Trial-5-Octodon,Octodon degus,CLA,5
Maddy-Orientation-Trial-1-Alouatta,Alouatta palliata,MML,1
Maddy-Orientation-Trial-1-Ochotona,Ochotona pallasi,MML,1
Maddy-Orientation-Trial-1-Octodon,Octodon degus,MML,1
Maddy-Orientation-Trial-2-Alouatta,Alouatta palliata,MML,2
Maddy-Orientation-Trial-2-Ochotona,Ochotona pallasi,MML,2
Maddy-Orientation-Trial-2-Octodon,Octodon degus,MML,2
Maddy-Orientation-Trial-3-Alouatta,Alouatta palliata,MML,3
Maddy-Orientation-Trial-3-Ochotona,Ochotona pallasi,MML,3
Maddy-Orientation-Trial-3-Octodon,Octodon degus,MML,3
Maddy-Orientation-Trial-4-Alouatta,Alouatta palliata,MML,4
Maddy-Orientation-Trial-4-Ochotona,Ochotona pallasi,MML,4
Maddy-Orientation-Trial-4-Octodon,Octodon degus,MML,4
Maddy-Orientation-Trial-5-Alouatta,Alouatta palliata,MML,5
Maddy-Orientation-Trial-5-Ochotona,Ochotona pallasi,MML,5
Maddy-Orientation-Trial-5-Octodon,Octodon degus,MML,5
Remi-Orientation-Trial-1-Alouatta,Alouatta palliata,RA,1
Remi-Orientation-Trial-1-Ochotona,Ochotona pallasi,RA,1
Remi-Orientation-Trial-1-Octodon,Octodon degus,RA,1
Remi-Orientation-Trial-2-Alouatta,Alouatta palliata,RA,2
Remi-Orientation-Trial-2-Ochotona,Ochotona pallasi,RA,2
Remi-Orientation-Trial-2-Octodon,Octodon degus,RA,2
Remi-Orientation-Trial-3-Alouatta,Alouatta palliata,RA,3
Remi-Orientation-Trial-3-Ochotona,Ochotona pallasi,RA,3
Remi-Orientation-Trial-3-Octodon,Octodon degus,RA,3
Remi-Orientation-Trial-4-Alouatta,Alouatta palliata,RA,4
Remi-Orientation-Trial-4-Ochotona,Ochotona pallasi,RA,4
Remi-Orientation-Trial-4-Octodon,Octodon degus,RA,4
Remi-Orientation-Trial-5-Alouatta,Alouatta palliata,RA,5
Remi-Orientation-Trial-5-Ochotona,Ochotona pallasi,RA,5
Remi-Orientation-Trial-5-Octodon,Octodon degus,RA,5
